co_fat_cidadao_pec,no_cidadao,dt_registro_nascimento,ds_sexo,nu_cns,nu_cpf_cidadao,nu_telefone_celular,st_faleceu,dt_ultima_atualizacao_cidadao,st_diabetes_diagnosticada,st_hipertensao_diagnosticada,nu_ine,no_equipe,data_ultimo_atend_individual,equipe_ine_atendimento,equipe_nome_atendimento,nu_atend_ubs_ultimos_12_meses,data_transmissao
700267,SICRANO PEIXOTO DOS NOGUEIRA,1955-02-14,MASCULINO,766926700049794,76568772586,(15) 94969-4174,0,2025-06-18 08:50:00,0,1,0001234568,ESF 2,2026-05-07,0001234568,ESF 2,3,2026-08-01
700268,FULANO REZENDE CORDEIRO,1951-07-19,MASCULINO,740224341635281,01842902106,(14) 99357-2245,0,2025-03-31 08:00:00,0,1,0001234571,ESF 5,2025-03-04,0001234571,ESF 5,0,2026-08-01
700269,FULANA CARVALHO DA ESTEVES,1958-08-14,FEMININO,840966227723016,04374505033,(18) 92089-9334,0,2025-12-06 16:15:00,0,1,0001234570,ESF 4,2026-05-25,0001234570,ESF 4,7,2026-08-01
700270,SICRANA XAVIER DOS NOGUEIRA,1959-10-23,FEMININO,827223539880241,02790132217,(18) 93977-7548,0,2025-03-02 12:45:00,0,1,0001234571,ESF 5,2025-01-08,0001234571,ESF 5,0,2026-08-01
700271,CICRANA NOGUEIRA,1970-02-21,FEMININO,796079741371493,44836365881,(15) 91967-4148,0,2026-07-29 08:50:00,0,1,0001234571,ESF 5,2026-04-02,0001234571,ESF 5,2,2026-08-01
700272,CICRANO ALBUQUERQUE,1965-05-30,MASCULINO,887004447105452,24101335258,(13) 92496-6159,0,2024-09-01 14:30:00,0,1,0001234571,ESF 5,2026-03-31,0001234571,ESF 5,3,2026-08-01
700273,FULANO MARINHO PEIXOTO,1985-04-18,MASCULINO,712755926361556,05468718872,(18) 96958-8196,0,2025-11-01 10:10:00,0,1,0001234571,ESF 5,2026-02-13,0001234571,ESF 5,4,2026-08-01
700274,BELTRANA CARVALHO VALADARES,1949-03-19,FEMININO,761831107515256,08327261411,(19) 98862-7973,0,2024-11-15 12:15:00,0,1,0001234572,ESF 5,2026-07-22,0001234572,ESF 5,8,2026-08-01
700275,SICRANO DA JARDIM,1978-11-24,MASCULINO,893073610359436,65513987407,(16) 99791-4448,0,2026-03-15 13:40:00,1,1,0001234570,ESF 4,2026-06-05,0001234570,ESF 4,2,2026-08-01
700276,CICRANO DA BITTENCOURT,2027-04-03,MASCULINO,751458355616969,46173556503,(11) 92844-3431,0,2025-08-09 12:10:00,1,1,0001234572,ESF 5,2026-07-26,0001234572,ESF 5,2,2026-08-01
700277,SICRANO DE QUEIROZ,1959-10-25,MASCULINO,891125848441050,40415225010,(13) 94738-5732,0,2025-05-09 14:00:00,0,1,0001234571,ESF 5,2025-09-03,0001234571,ESF 5,2,2026-08-01
700278,CICRANO ALBUQUERQUE DE BANDEIRA,1986-04-30,MASCULINO,710108252055405,62160207498,(11) 98837-6160,0,2025-04-08 15:50:00,0,1,0001234570,ESF 4,2026-04-03,0001234570,ESF 4,1,2026-08-01
700279,SICRANO JARDIM,1942-09-19,MASCULINO,864952794656096,17507210406,(15) 95065-4337,0,2025-02-08 16:15:00,0,1,0001234568,ESF 2,2026-03-12,0001234568,ESF 2,6,2026-08-01
700280,BELTRANO REZENDE,1974-04-08,MASCULINO,887355808419949,66245131601,(17) 91147-8272,0,2026-02-11 15:45:00,1,1,0001234570,ESF 4,2026-07-22,0001234570,ESF 4,1,2026-08-01
700281,BELTRANA DE BITTENCOURT,1955-08-31,FEMININO,836020958796647,22796677037,(13) 97580-7526,0,2025-01-12 14:15:00,0,1,0001234573,ESF 7,2025-08-17,0001234573,ESF 7,1,2026-08-01
700282,SICRANA ESTEVES DA GUIMARAES,1975-07-06,FEMININO,734178154705848,44490508272,(11) 99599-2401,0,2026-04-30 15:15:00,1,1,0001234568,ESF 2,2026-05-15,0001234568,ESF 2,4,2026-08-01
700283,CICRANO DOS SAMPAIO,1986-09-19,MASCULINO,799093478270164,18244129591,(13) 92968-9945,0,2026-06-06 12:15:00,0,1,0001234570,ESF 4,2026-06-22,0001234570,ESF 4,2,2026-08-01
700284,BELTRANO QUEIROZ GUIMARAES,1943-02-06,MASCULINO,804425508774751,70772651028,(12) 99362-7156,0,2025-10-28 12:00:00,0,1,0001234573,ESF 7,2026-07-01,0001234573,ESF 7,5,2026-08-01
700285,BELTRANA NOGUEIRA,1962-08-01,FEMININO,714516094007906,59368946141,(16) 95068-4389,0,2026-02-17 16:15:00,1,1,0001234573,ESF 7,2026-05-02,0001234573,ESF 7,4,2026-08-01
700286,BELTRANA FURTADO,1963-09-24,FEMININO,876708178153807,13395788408,(18) 92414-3753,0,2024-09-17 14:45:00,0,1,0001234567,ESF  1 ,2026-04-04,0001234567,ESF  1 ,2,2026-08-01
700287,SICRANO HUNGRIA DE VASCONCELOS,1937-02-11,MASCULINO,759913049042120,00187784885,(14) 91478-8987,0,2025-05-29 08:20:00,1,1,0001234570,ESF 4,2026-02-21,0001234570,ESF 4,4,2026-08-01
700288,CICRANO VALADARES DE SAMPAIO,1986-01-09,MASCULINO,866183671236806,62575230871,(16) 91213-4163,0,2025-08-23 14:15:00,0,1,0001234568,ESF 2,2025-10-21,0001234568,ESF 2,1,2026-08-01
700289,SICRANA GALVAO REZENDE,1976-12-06,FEMININO,799842674162992,37836276059,(15) 99316-6571,0,2026-06-04 12:50:00,0,1,0001234571,ESF 5,2024-03-25,0001234571,ESF 5,0,2026-08-01
700290,SICRANO MESQUITA QUEIROZ,1978-06-11,MASCULINO,797465273080274,97161160040,(13) 92802-9268,0,2025-05-08 13:40:00,0,1,0001234572,ESF 5,2026-07-15,0001234572,ESF 5,2,2026-08-01
700291,CICRANO ORNELAS DA SAMPAIO,1969-04-10,MASCULINO,754843532709126,14032672190,(16) 94149-3869,0,2024-10-09 08:40:00,0,1,0001234567,ESF  1 ,2026-03-14,0001234567,ESF  1 ,3,2026-08-01
700292,FULANO DA XAVIER,1971-03-17,MASCULINO,819369762943406,40884019137,(19) 96263-9719,0,2025-11-05 10:50:00,0,1,0001234572,ESF 5,2026-07-11,0001234572,ESF 5,3,2026-08-01
700293,BELTRANO DA ESCOBAR,1967-04-02,MASCULINO,881000471121742,38244519216,(15) 91877-3210,0,2026-02-24 14:00:00,0,1,0001234568,ESF 2,2026-03-31,0001234568,ESF 2,3,2026-08-01
700294,,1962-08-20,FEMININO,709555554786230,68053308318,(17) 97463-8233,0,2025-12-28 13:30:00,1,1,0001234570,ESF 4,2026-07-15,0001234570,ESF 4,2,2026-08-01
700295,SICRANO DE ESTEVES,1961-12-09,MASCULINO,792836410390122,18716135823,(19) 96797-4335,0,2026-05-02 13:40:00,0,1,0001234571,ESF 5,2026-03-27,0001234571,ESF 5,1,2026-08-01
700296,BELTRANO ESTEVES DA CORDEIRO,1971-11-23,MASCULINO,788352146670520,15076333782,(12) 92853-3130,0,2025-06-19 15:30:00,1,1,0001234568,ESF 2,2025-09-24,0001234568,ESF 2,1,2026-08-01
700297,FULANA BANDEIRA UCHOA,1958-02-11,FEMININO,834852008035601,91458531695,(19) 92345-8892,0,2025-01-12 10:20:00,0,1,0001234567,ESF  1 ,2026-03-17,0001234567,ESF  1 ,3,2026-08-01
700298,BELTRANO BANDEIRA,1983-02-26,MASCULINO,777826560888398,88702466989,(12) 97136-1387,0,2026-03-01 08:00:00,0,1,0001234569,ESF 3,2026-07-04,0001234569,ESF 3,2,2026-08-01
700299,BELTRANO PORTELA DA XAVIER,1944-03-09,MASCULINO,788257871145768,36641332854,(11) 99164-5435,0,2025-11-16 08:15:00,0,1,0001234568,ESF 2,2022-08-14,0001234568,ESF 2,0,2026-08-01
700300,FULANO HUNGRIA DE LACERDA,1967-04-14,MASCULINO,805575840415926,23267755701,(11) 92973-8826,0,2026-07-29 11:00:00,1,1,0001234570,ESF 4,2026-02-21,0001234570,ESF 4,1,2026-08-01
700301,SICRANA DA LACERDA,1973-04-16,FEMININO,783881099060220,90661449808,(16) 99615-6195,0,2024-12-15 15:30:00,1,1,0001234569,ESF 3,2025-11-24,0001234569,ESF 3,1,2026-08-01
700302,SICRANA MESQUITA DA ESCOBAR,1980-05-06,FEMININO,733317929786464,83999861518,(13) 99777-2315,0,2026-07-04 13:15:00,0,1,0001234568,ESF 2,2024-11-03,0001234568,ESF 2,0,2026-08-01
700303,BELTRANA GUIMARAES NOVAES,1940-10-10,FEMININO,730433759287417,05146240001,(19) 98114-7697,0,2026-01-27 14:10:00,0,1,0001234569,ESF 3,2025-09-29,0001234569,ESF 3,3,2026-08-01
700304,CICRANA MESQUITA,1966-05-26,FEMININO,883089160509270,85178165285,(15) 92295-4748,0,2025-05-12 16:15:00,1,1,0001234572,ESF 5,2024-04-11,0001234572,ESF 5,0,2026-08-01
700305,CICRANA DANTAS MESQUITA,1962-11-28,FEMININO,748370739158711,72271404402,(16) 93765-5390,0,2025-11-03 16:30:00,1,1,0001234569,ESF 3,2023-02-08,0001234569,ESF 3,0,2026-08-01
700306,BELTRANO ALBUQUERQUE DE TAVARES,1978-10-11,MASCULINO,895029378210238,54768437606,(18) 96750-9048,0,2026-06-14 14:50:00,0,1,0001234569,ESF 3,2024-10-26,0001234569,ESF 3,0,2026-08-01
700307,FULANA ZAMBONI DE LOUREIRO,1956-01-24,FEMININO,874748641568465,06871413970,(11) 98891-9521,0,2026-02-23 14:10:00,0,1,0001234567,ESF  1 ,2025-12-19,0001234567,ESF  1 ,1,2026-08-01
700308,BELTRANA VASCONCELOS DE VALADARES,1985-01-28,FEMININO,719943385399789,82940642975,(13) 94609-9410,0,2026-07-11 16:00:00,1,1,0001234573,ESF 7,2025-07-13,0001234573,ESF 7,0,2026-08-01
700309,CICRANO PORTELA,1966-05-08,MASCULINO,807707199825551,17495398613,(18) 97099-4163,0,2025-12-23 14:50:00,1,1,0001234572,ESF 5,2026-07-04,0001234572,ESF 5,1,2026-08-01
700310,CICRANO DELGADO DE LOUREIRO,1960-02-17,MASCULINO,813114363068247,97552988518,(14) 92178-2192,0,2024-09-07 10:30:00,0,1,0001234569,ESF 3,2025-12-13,0001234569,ESF 3,2,2026-08-01
700311,BELTRANO PEIXOTO DA NOGUEIRA,1962-05-22,MASCULINO,729440445833811,56327779281,(15) 92609-7054,0,2025-10-13 10:10:00,1,1,0001234571,ESF 5,2023-08-24,0001234571,ESF 5,0,2026-08-01
700312,FULANO ORNELAS TAVARES,1941-02-11,MASCULINO,811314092774095,97391575993,(12) 99275-6431,0,2025-11-13 09:00:00,0,1,0001234571,ESF 5,2025-08-05,0001234571,ESF 5,1,2026-08-01
700313,FULANA NOGUEIRA CORDEIRO,1964-03-07,FEMININO,810371098986818,51630808734,(13) 96152-8917,0,2025-05-31 15:10:00,1,1,0001234568,ESF 2,2023-08-17,0001234568,ESF 2,0,2026-08-01
700314,CICRANA ORNELAS,1981-07-28,FEMININO,808731138193642,14878179598,(12) 98622-6694,0,2025-05-13 11:00:00,1,1,0001234573,ESF 7,2025-01-23,0001234573,ESF 7,0,2026-08-01
700315,SICRANA FONTOURA DA FURTADO,1952-02-10,FEMININO,898726891163735,44948728579,(14) 98347-8889,0,2026-05-25 16:20:00,0,1,0001234568,ESF 2,2025-05-26,0001234568,ESF 2,0,2026-08-01
700316,CICRANA QUEIROZ DA ORNELAS,1972-12-29,FEMININO,896019031009023,29698899601,(16) 94885-5339,0,2026-01-02 16:15:00,0,1,0001234567,ESF  1 ,2025-05-16,0001234567,ESF  1 ,0,2026-08-01
700317,CICRANO BANDEIRA DA DELGADO,1950-09-29,MASCULINO,724542984026187,30140924796,(13) 94810-5488,0,2025-01-01 15:15:00,0,1,0001234570,ESF 4,2025-04-06,0001234570,ESF 4,0,2026-08-01
700318,CICRANO FURTADO DE LACERDA,1937-11-18,MASCULINO,828701358234700,86098031801,(12) 96675-6701,0,2025-01-22 10:00:00,0,1,0001234573,ESF 7,2023-08-17,0001234573,ESF 7,0,2026-08-01
700319,SICRANA ESCOBAR DE ESCOBAR,1984-01-10,FEMININO,855520514996413,77257251801,(14) 95278-6867,0,2025-12-11 16:00:00,1,1,0001234570,ESF 4,2025-08-06,0001234570,ESF 4,3,2026-08-01
700320,BELTRANO FONTOURA DOS JARDIM,1946-02-01,MASCULINO,700290034358242,52298411256,(15) 97092-8613,0,2026-01-23 15:10:00,0,1,0001234569,ESF 3,2024-05-27,0001234569,ESF 3,0,2026-08-01
700321,SICRANO REZENDE,1966-07-13,MASCULINO,842702882093415,73180934523,(17) 96613-9927,0,2026-07-26 12:40:00,0,1,0001234567,ESF  1 ,2025-11-29,0001234567,ESF  1 ,2,2026-08-01
700322,BELTRANA PORTELA DOS XAVIER,1936-10-22,FEMININO,764659797781416,07900829181,(12) 91037-3046,0,2025-05-16 11:30:00,1,1,0001234572,ESF 5,2023-06-01,0001234572,ESF 5,0,2026-08-01
700323,FULANA DOS HUNGRIA,1971-11-21,FEMININO,882110181980572,34794458615,(12) 95945-5101,0,2026-02-06 11:20:00,0,1,0001234573,ESF 7,2025-12-17,0001234573,ESF 7,2,2026-08-01
700324,SICRANA ORNELAS XAVIER,1939-01-02,FEMININO,770220918464697,90198711108,(16) 95772-8452,0,2025-05-10 14:00:00,0,1,0001234573,ESF 7,2025-07-25,0001234573,ESF 7,0,2026-08-01
700325,FULANA QUINTELA LOUREIRO,1960-07-07,FEMININO,823019839813105,33295147605,(12) 98929-9187,0,2025-03-19 09:10:00,1,1,0001234568,ESF 2,2024-08-02,0001234568,ESF 2,0,2026-08-01
700326,CICRANA DANTAS DE HUNGRIA,1957-12-06,FEMININO,785593890796097,23936818330,(14) 97853-4995,0,2025-08-26 13:15:00,1,1,0001234568,ESF 2,2024-08-12,0001234568,ESF 2,0,2026-08-01
700327,CICRANA HUNGRIA DE MARINHO,1958-07-23,FEMININO,859542874929699,86500957394,(12) 92625-9152,0,2025-08-02 15:00:00,1,1,0001234570,ESF 4,2025-12-22,0001234570,ESF 4,2,2026-08-01
700328,FULANA NOVAES CORDEIRO,1937-09-25,FEMININO,718133740829943,98552344212,(11) 95976-4583,0,2025-04-25 09:40:00,1,1,0001234571,ESF 5,2025-02-11,0001234571,ESF 5,0,2026-08-01
700329,BELTRANO ALBUQUERQUE TAVARES,1979-10-26,MASCULINO,798937205345903,73262697347,(19) 94374-1889,0,2026-02-24 15:50:00,0,1,0001234567,ESF  1 ,2025-12-21,0001234567,ESF  1 ,1,2026-08-01
700330,FULANA REZENDE DA FONTOURA,1966-04-24,FEMININO,742773212389420,57438736742,(14) 97265-5063,0,2025-10-19 09:10:00,0,1,0001234567,ESF  1 ,2022-04-16,0001234567,ESF  1 ,0,2026-08-01
700331,FULANO ESCOBAR DOS REZENDE,1937-04-14,MASCULINO,889712334857446,29410966206,(19) 93718-4593,0,2025-02-17 11:20:00,0,1,0001234568,ESF 2,2026-06-11,0001234568,ESF 2,3,2026-08-01
700332,SICRANA BANDEIRA,1942-08-28,FEMININO,720283232490552,88578645457,(18) 95173-1796,0,2026-02-03 16:30:00,0,1,0001234569,ESF 3,2026-06-28,0001234569,ESF 3,2,2026-08-01
700333,FULANA REZENDE,1940-05-02,FEMININO,873103598661513,99672231386,(12) 98342-4764,0,2025-05-13 15:15:00,1,1,0001234568,ESF 2,2023-07-01,0001234568,ESF 2,0,2026-08-01
700334,BELTRANO ORNELAS,1980-10-23,MASCULINO,755945155601050,33631585137,(15) 96784-9412,0,2025-07-28 14:00:00,0,1,0001234570,ESF 4,2026-06-10,0001234570,ESF 4,4,2026-08-01
700335,BELTRANO FURTADO DA ESCOBAR,1968-01-01,MASCULINO,838268364215192,34165174662,(17) 93497-9940,0,2025-04-05 15:30:00,0,1,0001234573,ESF 7,2024-10-21,0001234573,ESF 7,0,2026-08-01
700336,BELTRANO QUINTELA DOS CARVALHO,1970-09-25,MASCULINO,778756209467752,00304238059,(13) 92177-4099,0,2025-12-24 15:45:00,0,1,0001234567,ESF  1 ,2026-07-10,0001234567,ESF  1 ,2,2026-08-01
700337,CICRANO DA LACERDA,1960-09-03,MASCULINO,764542512377406,23728950603,(19) 94639-4756,0,2026-04-23 15:30:00,1,1,0001234570,ESF 4,2026-07-07,0001234570,ESF 4,2,2026-08-01
700338,CICRANO SAMPAIO,1953-05-07,MASCULINO,709217406826286,26639877270,(11) 97785-5520,0,2025-10-31 11:40:00,1,1,0001234568,ESF 2,2025-10-22,0001234568,ESF 2,2,2026-08-01
700339,BELTRANA MESQUITA,1949-02-08,FEMININO,896266870528035,90684131553,(16) 98505-4690,0,2025-08-09 09:50:00,1,1,0001234569,ESF 3,2026-04-04,0001234569,ESF 3,2,2026-08-01
700340,CICRANO ESTEVES TAVARES,1961-10-21,MASCULINO,761985393323956,01592045937,(12) 98755-5613,0,2025-02-10 10:15:00,1,1,0001234568,ESF 2,2026-07-18,0001234568,ESF 2,2,2026-08-01
700341,CICRANA UCHOA DE ALBUQUERQUE,1942-05-11,FEMININO,768035001283896,55490263840,(14) 91231-2110,0,2025-06-23 13:50:00,0,1,0001234572,ESF 5,2026-07-29,0001234572,ESF 5,2,2026-08-01
700342,CICRANO SALGADO,1981-09-15,MASCULINO,789704515307209,86858894994,(11) 94488-6769,0,2026-02-22 11:20:00,1,1,0001234571,ESF 5,2024-10-30,0001234571,ESF 5,0,2026-08-01
700343,CICRANO VASCONCELOS DOS ORNELAS,1951-12-10,MASCULINO,848557498078002,96601416615,(11) 91540-2965,0,2026-01-02 08:50:00,0,1,0001234573,ESF 7,2026-05-11,0001234573,ESF 7,6,2026-08-01
700344,FULANA CORDEIRO QUINTELA,1984-06-23,FEMININO,883037751576346,01461698082,(12) 94589-1828,0,2025-10-30 14:45:00,0,1,0001234571,ESF 5,2025-08-08,0001234571,ESF 5,2,2026-08-01
700345,FULANA HUNGRIA,1959-05-02,FEMININO,861537989072834,89576647348,(17) 94140-6349,0,2025-09-23 16:00:00,0,1,0001234567,ESF  1 ,2026-04-08,0001234567,ESF  1 ,2,2026-08-01
700346,FULANA QUEIROZ DOS HUNGRIA,1944-03-02,FEMININO,721159829486890,04750509915,(17) 94336-7860,0,2025-02-22 16:45:00,0,1,0001234569,ESF 3,2026-05-30,0001234569,ESF 3,2,2026-08-01
700347,BELTRANA TEIXEIRA DOS QUEIROZ,1957-01-28,FEMININO,788922061082701,21823759883,(17) 98914-1796,0,2025-08-04 08:15:00,1,1,0001234569,ESF 3,2025-12-23,0001234569,ESF 3,6,2026-08-01
700348,BELTRANA HUNGRIA DE NOVAES,1984-08-23,FEMININO,842978776331065,30779830521,(17) 91238-3070,0,2026-04-27 14:30:00,1,1,0001234569,ESF 3,2025-12-12,0001234569,ESF 3,4,2026-08-01
700349,FULANO SAMPAIO,1977-10-18,MASCULINO,753184026191694,20627524151,(14) 91218-6195,0,2025-09-11 13:40:00,1,1,0001234567,ESF  1 ,2026-03-03,0001234567,ESF  1 ,6,2026-08-01
700350,SICRANO SALGADO MARINHO,1963-09-19,MASCULINO,710917880706266,27693794701,(18) 91549-4252,0,2025-12-23 14:10:00,1,1,0001234571,ESF 5,2025-12-06,0001234571,ESF 5,3,2026-08-01
700351,CICRANO TEIXEIRA,1948-03-15,MASCULINO,811126582654183,22544313316,(18) 99628-1321,0,2025-05-13 09:40:00,0,1,0001234572,ESF 5,2025-01-12,0001234572,ESF 5,0,2026-08-01
700352,BELTRANO LOUREIRO,1961-10-19,MASCULINO,741893783903413,51907976001,(11) 92108-9772,0,2024-12-24 15:15:00,0,1,0001234573,ESF 7,2025-07-14,0001234573,ESF 7,0,2026-08-01
700353,SICRANO LACERDA DOS MESQUITA,1938-03-23,MASCULINO,787951457077239,86288378683,(19) 94181-9128,0,2026-06-24 09:40:00,0,1,0001234573,ESF 7,2025-12-03,0001234573,ESF 7,2,2026-08-01
700354,FULANO DE DELGADO,1963-12-25,MASCULINO,767065371040066,77759094630,(19) 95257-4470,1,2024-12-14 09:30:00,1,1,0001234568,ESF 2,2026-07-11,0001234568,ESF 2,2,2026-08-01
700355,CICRANO DE GUIMARAES,1948-11-23,MASCULINO,887883902496186,72173109031,(18) 91499-8675,1,2025-07-12 11:45:00,0,1,0001234571,ESF 5,2026-04-07,0001234571,ESF 5,4,2026-08-01
700356,BELTRANO SAMPAIO TAVARES,1977-07-24,MASCULINO,795332377987807,20804521264,(17) 96114-7315,1,2024-12-16 08:00:00,0,1,0001234572,ESF 5,2026-07-17,0001234572,ESF 5,3,2026-08-01
700357,FULANO PEIXOTO DOS REZENDE,1964-10-05,MASCULINO,755198129059521,59334780241,(14) 93310-8778,1,2025-01-25 16:50:00,0,1,0001234568,ESF 2,2021-12-25,0001234568,ESF 2,0,2026-08-01
700358,CICRANA TAVARES DE HUNGRIA,1937-08-29,FEMININO,880144706555697,25440141562,(11) 91702-5463,1,2024-11-20 13:40:00,0,1,0001234573,ESF 7,2026-07-15,0001234573,ESF 7,3,2026-08-01
700359,CICRANA UCHOA GUIMARAES,1978-06-19,FEMININO,737231196733370,87576746042,(15) 94287-8722,1,2024-10-30 08:40:00,0,1,0001234570,ESF 4,2026-06-24,0001234570,ESF 4,3,2026-08-01
700360,CICRANA BITTENCOURT,1959-09-19,FEMININO,802074900608504,82954502712,(13) 98469-6154,0,2026-01-27 10:10:00,0,1,0001234567,ESF  1 ,,,,0,2026-08-01
700361,SICRANO DE PORTELA,1964-02-25,MASCULINO,758668889328840,18095526721,(15) 93963-4338,0,2026-02-25 14:50:00,0,1,0001234571,ESF 5,,,,0,2026-08-01
700362,SICRANA HUNGRIA DA TAVARES,1981-12-27,FEMININO,887207444721394,30521479518,(16) 94483-9216,0,2026-04-13 16:50:00,0,1,0001234568,ESF 2,2025-08-30,0001234568,ESF 2,4,2026-08-01
700363,BELTRANO SALGADO QUEIROZ,1972-05-17,MASCULINO,788453564895662,53050590620,(14) 98347-7010,0,2026-02-28 12:40:00,0,1,0001234570,ESF 4,2022-11-04,0001234570,ESF 4,0,2026-08-01
700364,FULANO DOS HUNGRIA,1951-12-16,MASCULINO,865558332867008,51536562093,(15) 96302-6992,0,2026-07-22 09:00:00,0,1,0001234573,ESF 7,2025-12-13,0001234573,ESF 7,1,2026-08-01
700365,CICRANA ESTEVES DA LOUREIRO,1982-07-24,FEMININO,855326908155267,86936456414,(19) 91569-6396,0,2025-08-10 15:40:00,0,1,0001234569,ESF 3,,,,0,2026-08-01
700366,SICRANO SALGADO GALVAO,1977-10-04,MASCULINO,743148177681042,40381351603,(19) 92987-3379,0,2025-10-04 14:30:00,0,1,0001234571,ESF 5,2025-04-16,0001234571,ESF 5,0,2026-08-01
700367,CICRANO BANDEIRA,1962-02-28,MASCULINO,702315691489156,58839792385,(15) 93213-4596,0,2025-03-29 09:45:00,0,1,0001234569,ESF 3,2022-09-28,0001234569,ESF 3,0,2026-08-01
700368,SICRANA LOUREIRO BANDEIRA,1982-03-02,FEMININO,731697675172474,29712793835,(14) 99349-3082,0,2024-12-18 10:00:00,0,1,0001234573,ESF 7,2026-01-08,0001234573,ESF 7,1,2026-08-01
700369,BELTRANO PORTELA NOVAES,1941-07-04,MASCULINO,814434114303103,62433609039,(14) 91370-4056,0,2026-02-27 11:30:00,0,1,0001234573,ESF 7,,,,0,2026-08-01
700370,SICRANA MARINHO VASCONCELOS,1951-11-12,FEMININO,887509407393225,59082398011,(19) 91946-3970,0,2026-04-04 10:20:00,0,1,0001234567,ESF  1 ,2024-11-07,0001234567,ESF  1 ,0,2026-08-01
700371,BELTRANA TAVARES DE REZENDE,1981-05-25,FEMININO,720972021025822,21635164665,(18) 97011-6810,0,2025-07-05 08:10:00,0,1,0001234568,ESF 2,,,,0,2026-08-01
700372,FULANO QUEIROZ DOS FONTOURA,1952-08-27,MASCULINO,742807179287209,37871308701,(16) 98096-5820,0,2025-02-03 11:30:00,0,1,0001234567,ESF  1 ,2025-03-03,0001234567,ESF  1 ,0,2026-08-01
700373,SICRANA ESCOBAR,1949-08-02,FEMININO,802124724774942,02213271934,(16) 93527-7933,0,2026-05-11 16:45:00,0,1,0001234567,ESF  1 ,,,,0,2026-08-01
700374,SICRANO BANDEIRA,1965-04-13,MASCULINO,705751256012325,86883255614,(19) 95122-4731,0,2026-03-18 11:10:00,0,1,0001234567,ESF  1 ,,,,0,2026-08-01
700375,SICRANO VALADARES ZAMBONI,1944-12-26,MASCULINO,860150338272490,95228146017,(12) 97555-5255,0,2026-03-25 10:40:00,0,1,0001234572,ESF 5,,,,0,2026-08-01
700376,CICRANA DE ESTEVES,1967-07-23,FEMININO,882421672012319,89643072593,(12) 98109-1418,0,2024-12-08 11:20:00,0,1,0001234568,ESF 2,2025-05-09,0001234568,ESF 2,0,2026-08-01
700377,SICRANA QUEIROZ ORNELAS,1984-09-27,FEMININO,713411896889655,26831649638,(19) 96367-7520,0,2025-04-03 14:00:00,0,1,0001234572,ESF 5,,,,0,2026-08-01
700378,FULANA SALGADO,1945-09-28,FEMININO,792339452030584,03930849659,(17) 98191-5214,0,2025-12-14 08:40:00,0,1,0001234571,ESF 5,,,,0,2026-08-01
700379,FULANO TEIXEIRA,1969-11-27,MASCULINO,743274747346524,02408315353,(12) 95018-8724,0,2026-06-30 11:10:00,0,1,0001234569,ESF 3,,,,0,2026-08-01
700380,BELTRANA DA CORDEIRO,1943-03-02,FEMININO,884210002249091,74261701791,(11) 95249-2522,0,2026-05-24 13:20:00,0,0,0001234568,ESF 2,2026-05-17,0001234568,ESF 2,7,2026-08-01
700381,BELTRANA FONTOURA DOS ZAMBONI,1969-02-07,FEMININO,854862367030364,23450615964,(13) 96191-7232,0,2026-06-22 12:45:00,0,0,0001234570,ESF 4,2026-04-03,0001234570,ESF 4,2,2026-08-01
700382,FULANA ESCOBAR FURTADO,1942-09-01,FEMININO,861505543696343,29990922293,(19) 95627-9739,0,2025-06-10 08:10:00,0,0,0001234573,ESF 7,2026-06-19,0001234573,ESF 7,5,2026-08-01
700383,CICRANA ZAMBONI REZENDE,1937-04-24,FEMININO,827611019956201,47665159274,(16) 99002-4404,0,2025-02-16 11:10:00,1,0,0001234568,ESF 2,2026-06-09,0001234568,ESF 2,10,2026-08-01
700384,SICRANO VASCONCELOS DE PEIXOTO,1975-08-23,MASCULINO,720560775437289,05854013305,(13) 95765-9173,0,2026-02-20 08:20:00,1,0,0001234569,ESF 3,2023-12-12,0001234569,ESF 3,0,2026-08-01
700385,CICRANO HUNGRIA MESQUITA,1950-08-31,MASCULINO,701659575302340,37339056441,(17) 94543-4522,0,2026-06-10 08:10:00,0,0,0001234571,ESF 5,2026-07-02,0001234571,ESF 5,2,2026-08-01
700386,CICRANA DOS BITTENCOURT,1988-06-05,FEMININO,711681477128835,04185985682,(18) 91119-2147,0,2024-12-27 12:45:00,0,0,0001234573,ESF 7,2026-02-22,0001234573,ESF 7,2,2026-08-01
700387,BELTRANO NOVAES,1961-12-08,MASCULINO,739766467840300,34357942676,(14) 93432-6739,0,2025-05-10 14:15:00,1,0,0001234572,ESF 5,2026-03-04,0001234572,ESF 5,1,2026-08-01
700388,BELTRANA DOS QUINTELA,1950-01-10,FEMININO,877063127507551,85056679306,(17) 98244-2836,0,2024-11-01 16:30:00,0,0,0001234567,ESF  1 ,2023-07-06,0001234567,ESF  1 ,0,2026-08-01
700389,CICRANO NOGUEIRA NOGUEIRA,1948-11-10,MASCULINO,820354902446243,36922097701,(14) 94081-3874,0,2026-01-14 14:45:00,0,0,0001234572,ESF 5,2026-04-10,0001234572,ESF 5,9,2026-08-01
700390,BELTRANO DOS PORTELA,1937-01-31,MASCULINO,726472361700353,89327342080,(19) 97684-1763,0,2024-11-22 08:20:00,0,0,0001234567,ESF  1 ,2026-06-19,0001234567,ESF  1 ,2,2026-08-01
